year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,others,processed sugar,pet resins,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2014.0,2871.833,2122.116,2384.982,651.857,,1733.125,,16.87,220.589,224.347,6.769,670.133,213.874,34.749,301.98,3.29,71.858,44.382,2871.833,454.041,333.766,,120.275,1591.886,850.6200000000001,640.906,79.584,,20.776,825.906,93.096,326.072,389.702,17.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.492,54.752,293.872,348.624,34.028,-4.16,-500.423,-174.574,-180.265,5.691,-301.979,,10.308,11.501,,116.22,-40.0,-13.048,350.173,-363.221,-153.553,,-5.711,8.953,,3.242,174.574,203.918,0.0,0.552434538555235,456.259,825.906,0.811391368993566,670.133,1.34712703434372,212.481,157.729,0.846465927206159,2018.806,2384.982,10.9858367500731,31.6464964005497,5.95730952817341,26.61796917865,4.47378100215619,2031.28,454.041,10.1009210394659,203.918,0.0,42.0400969682079,18.0563164563608,364.522,1.7534621949806,35.399,10.3855611661609,2045.927,1.23262738467035,2871.833,6.88674854373078,110.029650350672,1597.701,7.79643248076716,1.7534621949806,0.702967756133452,6.32505214286815,0.392050019907622,0.0,0.0,0.0,6.47904927548955,
2015.0,4141.523,3438.483,3813.325,897.139,,2916.186,,32.027,303.924,329.516,5.012,554.858,350.785,50.052,0.001,19.584,43.262,91.174,4141.523,860.421,583.766,,276.655,2314.868,683.154,819.906,148.182,,38.416,966.234,99.293,68.1,762.207,36.634,2864.009,454.805,2864.009,2289.135,1202.953,768.45,311.205,123.298,51.940583985595,-31.844,305.633,245.747,37.667,109.402,82.13,20.973,574.874,46.416,21.6930184227773,139.714,481.576,262.621,218.955,,218.955,67.308,47.25,67.272,0.0,151.647,0.0,,,151.647,13.567,0.0,510.227,218.955,372.147,591.102,-44.272,-36.603,-360.198,-577.68,-589.602,11.922,-240.661,521.67,38.363,19.035,,-134.345,,-324.629,331.986,-656.615,-121.743,,15.684,3.242,,18.926,577.68,-67.453,0.0,0.211204532235463,204.073,966.234,0.574248059993749,554.858,2.56716578152512,358.669,139.714,0.751052952475858,2864.009,3813.325,12.1107842654117,31.0503292742528,4.66316657094974,23.6027115797908,2.03859273541673,1754.048,860.421,-2.35519511286452,-67.453,0.0,48.059416014405,21.6930184227773,621.29,5.29492051177213,151.647,11.2956332478713,3175.289,3.66162399677607,4141.523,8.57422473100657,216.264669411523,2522.265,17.6247441659374,5.29492051177213,0.691535215426789,4.81336810700808,1.67951111111111,0.0,0.0,0.0,3.73131709829548,
2016.0,4627.035,3911.993,4087.153,1095.621,,2991.532,,68.937,500.533,479.476,2.979,583.578,359.971,47.144,,14.939,37.56,123.964,4627.035,2136.737,182.313,,1953.838,1309.761,1063.866,59.261,131.464,1.224,53.946,1180.537,144.411,148.255,839.082,48.789,2979.602,1191.42,2979.602,2277.368,1302.362,701.995,457.476,142.891,45.8405182974102,-16.844,353.559,280.065,47.69,124.203,82.675,23.311,702.234,50.921,25.2770336440907,389.489,363.666,249.456,114.21,,114.21,24.713,35.986,-11.059,0.0,89.497,0.0,,,89.497,18.2312525,0.0,751.655,114.21,613.195,727.405,75.25,-51.0,-1108.5,-653.393,-658.528,5.135,-140.775,35.019,6.584,19.045,-175.54,352.784,701.36,91.533,665.529,-573.996,-179.673,,-4.061,18.926,,14.865,653.393,98.2619999999999,0.0,0.189411259452266,223.607,1180.537,0.494332663863987,583.578,1.29323036080608,503.699,389.489,0.729016506110733,2979.602,4087.153,2.78884485914994,31.098606049069,4.25273949645914,32.5625006863782,0.68313227130901,1459.674,2136.737,3.29782299783662,98.2619999999999,0.0,54.1594817025898,25.2770336440907,753.155,3.00365619300833,89.497,14.6148061017299,3446.498,1.93421921381619,4627.035,14.4726782689714,354.804944102968,2451.55,4.188489271258,3.00365619300833,0.643954930101026,2.16546772017333,0.727259259259259,0.0,77.684835058503,3.25468857538629,11.1494197807888,0.0
2017.0,5332.67,4411.93,4554.308,1276.304,,3278.004,,11.969,627.193,646.149,3.766,718.488,315.67,94.69,,31.27,140.964,135.894,5332.67,2296.801,182.587,,2113.976,1831.76,1559.51,46.647,155.151,4.598,65.854,1204.109,83.832,192.588,872.906,54.783,3062.592,856.2139999999999,3062.592,2339.701,1454.623,1454.623,0.0,0.0,45.8536429272982,-66.204,318.945,319.126,39.082,130.383,94.815,33.04,722.891,47.391,25.1513097402462,192.447,577.835,273.642,304.193,,304.193,68.595,45.11,23.348,0.0,235.598,0.0,,,235.598,18.258694,19.3748885943906,499.556,304.193,442.752,746.945,-198.668,-48.721,-809.449,-324.38,-351.314,26.934,-174.579,35.044,4.786,19.045,-71.905,326.292,4.209,533.705,764.389,-230.684,-139.072,-45.629,16.399,14.865,,31.264,324.38,175.176,0.0,0.334536159101875,402.818,1204.109,0.596696810670795,718.488,2.58065857093122,496.64,192.447,0.672460448436953,3062.592,4554.308,8.40827260938261,31.4648090515325,6.60525297756511,29.661789419715,0.908684731502642,2087.068,2296.801,5.7198608237728,175.176,0.0,54.1463570727018,25.1513097402462,770.282,7.6927648214323,235.598,12.029372946167,4128.561,4.41801199024129,5332.67,12.5301824471474,347.944120679963,2776.848,10.2576583691839,7.6927648214323,0.574307429486542,2.32178146909549,1.9116,0.0,50.4793347438252,5.17852296888873,18.1084359299581,0.383818223689261
2018.0,6130.249,4982.01,4743.23,1421.406,,3321.824,,339.226,774.5,745.186,3.901,945.612,418.325,134.474,,1.84,185.167,205.806,6130.249,2588.939,182.642,,2406.258,2140.623,1835.913,,202.627,4.433,97.65,1400.687,178.318,318.875,816.709,86.785,3862.276,,3862.276,2999.703,1660.301,1660.301,0.0,0.0,45.9422112764598,-68.786,448.143,411.472,61.315,158.796,118.03,27.532,862.573,91.639,24.7059505845776,195.704,758.508,295.55,462.958,,462.958,130.599,79.79,49.374,0.0,332.359,0.0,,,332.359,18.264194,13.7383018359867,742.046,462.958,431.882,894.84,-93.868,-58.926,-704.454,-499.159,-566.359,67.2,-49.18,0.003,33.692,19.219,-62.735,-67.081,0.715,626.159,1213.183,-587.024,-167.102,-45.598,-29.489,31.264,,1.775,499.159,242.887,0.0,0.376448842603665,527.287,1400.687,0.675105858767876,945.612,3.36560315578629,658.662,195.704,0.814271287709008,3862.276,4743.23,10.3769013204112,28.4551295736322,8.88410862963895,26.96233688286,0.962742266233388,2492.481,2588.939,6.28870127354959,242.887,0.0,54.0577887235402,24.7059505845776,954.212,8.60526280359042,332.359,13.9264904445697,4729.562,5.42162316734606,6130.249,12.6889969389272,407.067589839683,3208.036,12.837652799081,8.60526280359042,0.630035745693201,2.36786150620003,2.6958962962963,0.0,43.2563577338977,5.55319441847889,17.6766861347374,0.317601473670838
2019.0,8443.718,6788.842,7175.717,1773.963,,5401.754,,58.575,907.784,692.208,4.65,1378.747,672.983,130.531,,32.416,292.11,250.707,8443.718,3867.117,288.689,,3578.428,2729.332,2291.707,,276.129,0.823,160.673,1847.269,317.878,411.0439999999999,1007.891,110.456,5615.664,,5615.664,4410.565,2348.022,2348.022,0.0,0.0,46.5116502696743,-132.413,633.651,630.813,103.069,220.186,191.308,19.6,1205.099,98.007,23.204842739879,281.613,1021.493,387.202,634.291,,634.291,185.744,94.87,89.888,0.0,448.547,0.0,,,448.547,28.868872,16.0902081429325,1066.906,634.291,579.897,1214.188,-37.143,-110.139,-2229.341,-630.027,-651.67,21.643,-1698.155,73.138,3.514,24.9,-15.038,1193.011,900.18,610.937,1837.371,-1226.434,-272.783,-68.496,30.576,1.775,,32.351,630.027,436.879,0.0,0.382058054349421,705.764000000001,1847.269,0.746370452814398,1378.747,3.25234985600807,915.904,281.613,0.782592736029027,5615.664,7175.717,1.33867887920408,28.9730386719435,7.03559408824858,34.669953880988,0.827706273174564,3200.837,3867.117,7.77964992207511,436.879,0.0,53.4883497303257,23.204842739879,1303.106,7.98742588587921,448.547,13.8848037785178,6596.449,5.31219777827729,8443.718,11.6515220800932,578.386333179881,4964.041,11.5990025644427,7.98742588587921,0.665070055631891,2.18346587393141,3.45275555555556,0.0,45.5643247331032,5.28500631219588,18.1153020207105,0.353132283353344
2020.0,8296.574,6809.107000000001,7308.343,2044.933,,5263.41,,39.005,1352.165,371.981,3.538,1266.475,679.061,170.529,,36.476,225.661,154.748,8296.574,4011.767,288.689,,3723.078,2377.187,1954.351,,220.992,8.684,193.16,1907.62,272.068,635.54,967.728,32.284,4876.451,,4876.451,4016.468,2131.331,2131.331,0.0,0.0,45.4362609200831,-3.137,597.546,695.064,126.968,203.074,148.528,29.611,859.983,71.992,19.1117474573209,249.949,682.026,412.817,269.209,-66.529,202.68,-23.749,26.98,-52.17899999999999,0.0,226.429,0.0,,,226.429,28.868872,31.8739322232705,719.674,202.68,666.591,869.271,-101.976,-47.621,-227.974,-324.361,-346.676,22.315,,,5.452,20.231,,-487.647,,-391.864,780.045,-1171.909,-240.627,-72.172,4.053,32.351,,36.404,324.361,395.313,0.0,0.307930300583974,587.414,1907.62,0.663903188266007,1266.475,1.81088542062581,519.158,249.949,0.6672444082058,4876.451,7308.343,3.05149024931433,42.2386383147137,9.40528891887224,48.5924369842716,0.76064786414565,3051.542,4011.767,8.10657176704944,395.313,0.0,54.5637390799169,19.1117474573209,931.975,4.64331539474097,226.429,8.12586849114894,6388.954,2.72918677034641,8296.574,10.79357773099,499.562612068285,4628.332,5.64412140585433,4.64331539474097,0.587766830019234,2.0680597851271,1.74297777777778,0.0,116.714476955441,6.58762946726467,31.5921569838247,0.273089737287673
2021.0,9065.617,6999.213,7410.586,2398.979,,5011.607,,477.954,1352.239,451.723,3.872,1768.222,1066.271,132.073,,24.235,292.552,253.091,9065.617,4398.621,433.033,,3965.588,2219.509,1712.441,,298.182,9.425,199.461,2447.487,463.464,560.524,1366.747,56.752,6595.742,,6595.742,5415.338,3085.812,3085.812,0.0,0.0,47.4423650894774,-76.066,787.257,741.115,228.654,258.386,215.828,54.922,1180.404,57.639,18.7703369840725,156.687,1081.356,399.834,681.522,,681.522,192.035,116.81,75.298,0.0,489.487,0.0,,,489.487,43.303308,22.1166520696763,867.864,681.522,525.173,1206.695,-240.308,-98.523,-725.331,-618.738,-630.446,11.708,,0.07,22.62,30.346,-0.074,-154.79,,189.827,783.761,-593.934,-148.146,-108.258,-12.257,36.404,,24.147,618.738,249.126,0.0,0.286804792017281,701.950999999999,2447.487,0.722464307267005,1768.222,5.3495759061058,838.209,156.687,0.890043243543763,6595.742,7410.586,11.9302334186093,46.7266146945944,8.10136241117086,42.897743687156,0.720528774813743,3169.333,4398.621,3.7770731481007,249.126,0.0,52.5576349105226,18.7703369840725,1238.043,7.42125753251113,489.487,12.6653450445972,6618.13,5.39937877366758,9065.617,11.7042529616198,560.625875012105,4789.933,11.1281922220623,7.42125753251113,0.727555774747599,2.06101344034869,3.7679,0.0,78.4300715694861,8.72785825716742,33.5494313323528,0.281991991427444
2022.0,11068.943,8297.063,8559.885,2808.019,47.062,5751.866,,539.945,1354.317,967.301,3.618,2451.896,1426.148,150.242,,47.487,479.725,348.294,11068.943,5517.401,649.55,,4864.943,2283.236,1653.258,,319.984,112.333,197.661,3268.306,575.793,517.295,2079.471,95.747,10595.825,,10595.825,8415.825,5459.304,5459.304,0.0,0.0,49.803974678706,-302.346,1172.944,920.468,328.155,388.97,238.981,89.165,2180.0,143.757,21.9308737167705,156.123,2167.634,483.132,1684.502,,1684.502,414.3029999999999,395.3,19.089,0.0,1270.199,0.0,,,1270.199,64.954962,17.8981442181324,1558.786,1684.502,574.52,2259.022,-367.387,-332.849,-1509.314,-1334.51,-1348.485,13.975,,0.367,9.214,53.949,-2.078,-26.23,,332.394,1467.082,-1134.688,-144.178,-162.387,23.242,24.147,,47.389,1334.51,224.276,0.0,0.31384698984734,1025.748,3268.306,0.750203928273546,2451.896,11.7895825727151,1840.625,156.123,1.23784665331368,10595.825,8559.885,10.6765232836353,41.8741974249291,4.74306849932489,35.9407426406187,0.62925460737764,3471.85,5517.401,2.11664499932757,224.276,0.0,50.196025321294,21.9308737167705,2323.757,11.9877310166976,1270.199,23.5958294175207,7800.637,11.4753414124547,11068.943,23.5573238684652,1279.52358425932,5431.532,23.0216908287072,11.9877310166976,0.957257165386072,2.00618787722698,9.7775,0.0,67.6297622091537,15.5776764065164,38.4409172301579,0.264650283553875
2023.0,14009.458,10760.998,10138.817,3200.609,,6938.208,,1575.999,1449.954,1102.279,7.891,2935.127,1535.874,212.942,,52.309,768.25,365.752,14009.458,7075.804,649.607,,6417.347,3640.713,3010.549,,313.333,111.205,205.626,3292.941,491.861,775.5,1910.443,115.137,12632.826,,12632.826,9648.023,5902.78,5902.78,0.0,0.0,47.4193106118932,-61.815,1349.84,1036.796,376.327,436.942,323.803,133.916,2984.803,146.142,24.7842010964134,244.454,2886.491,518.328,2368.163,,2368.163,593.037,601.871,-5.952,0.0,1775.126,0.0,,,1775.126,129.9214976,18.2974581171184,1952.877,2368.163,706.795,3074.958,-491.259,-630.822,-2769.567,-2590.132,-2646.452,56.32,,0.351,36.623,40.753,-93.061,818.781,4.792,1031.124,2268.91,-1237.786,-238.167,-227.348,2.091,47.389,,49.48,2590.132,-637.255,0.0,0.424925013840212,1399.253,3292.941,0.891339079564438,2935.127,10.6875608498941,2612.617,244.454,1.24598619345827,12632.826,10138.817,14.9887043153515,42.32554334792,5.18968465975978,32.5265236923283,0.672729911682121,4760.105,7075.804,-5.0444374045839,-637.255,0.0,52.5806893881068,24.7842010964134,3130.945,14.0516935798847,1775.126,24.3793482527952,10716.517,12.6709113229077,14009.458,22.7912270642271,1848.81864164333,8111.975,25.0872692347046,14.0516935798847,0.901735527527189,1.97991041018095,13.6631,0.0,90.5028873388909,22.7331757317226,52.8153970031412,0.202175407383446
