year,assets,non current assets,gross block,less: accumulated depreciation,less: impairment of assets,net block,lease adjustment a/c,capital work in progress,long term investments,long term loans & advances,other non current assets,current assets,inventory,accounts receivable,short term investments,cash & bank balances,other current assets,short term loans and advances,liabilities,shareholders funds,share capital,share warrants,reserves,non current liabilities,secured loans,unsecured loans,deferred tax assets/liabilities,other long term liabilities,long term provisions,current liabilities,accounts payable,short term loans,other current liabilities,short term provisions,gross sales,less: excise duty,net sales,operating expenses,raw material,tyres,ferro alloy,others,metals,material cost (%),increase/decrease in stock,other manufacturing expenses,employee cost,selling and distribution expenses,power & fuel cost,general and administration expenses,miscellaneous expenses,operating profit,other income,opm (%),interest,pbdt,depreciation and amortization,profit before taxation & exceptional items,exceptional income / expenses,profit before tax_x,provision for taxs,current income tax,deferred tax,other taxes,profit after tax,extra items,minority interest,share of associate,net profit,number of shares(crs),dividend payout ratio(%),cash from operating activity,profit before tax_y,adjustments,ocf before working capital,working capital changes,taxes paid,cash from investing activity,net fixed assets purchased,fixed assets purchased,fixed assets sold,investment purchased,investment sold,interest recieved,dividends recieved,subsidiary investments,cash from financing activity,proceeds from shares,net long term borrowings,proceeds from borrowings,repayment from borrowings,interest paid,dividend paid,net cash flow,opening cash & cash equivalents,effect of fx,closing cash & cash equivalents,net capex (est),free cash flow (est),operational ratios,quick ratio,liquid assets (crs),current liabilities (crs),current ratio,current assets (crs),interest coverage ratio,ebit (crs),interest expenses (crs),fixed asset turnover,net sales (crs),fixed assets (crs),cash conversion cycle,inventory days,days receivable,days payable,debt to equity ratio,total debt (crs),shareholders equity (crs),free cash flow/sales (%),free cash flow(est) (crs),profitability ratios,gross margin (%),op profit margin (%),operating profit (crs),net profit margin (%),net profit (crs),roce (%),capital employed (crs),return on assets (%),total assets (crs),roic (%),op profit after taxes (crs),invested capital (crs),roe (%),net profit margin (%),asset turnover ratio,equity multiplier,adjusted eps,valuation ratios,p/e,price to book,ev/ebitda,dividend yield (%)
2015.0,15562.32,5894.47,4100.91,2183.67,,1917.24,,254.94,3352.76,511.07,0.04,9526.27,814.15,716.96,5800.56,586.15,346.84,1261.61,15562.32,10692.15,289.37,,10402.78,393.38,,111.77,141.58,57.59,82.44,4476.79,1760.53,,806.69,1909.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147.32,4084.79,-38.29,4046.5,-613.78,-1285.4,-414.35,-295.2,-311.36,16.16,-4919.11,4564.53,125.28,,,-1644.18,,53.16,53.16,,-6.49,-1444.96,88.79,486.28,,575.07,295.2,1852.12,0.0,1.94617271374767,8712.60654317843,4476.79,2.1279242492947,9526.27,630.397534668721,4431.57,6.49,5.27005225669425,21612.01,4100.91,-23.5048706433349,11.7813533327798,12.2618875295332,47.5481115056479,0.0105077089266424,112.35,10692.15,8.56986462619627,1852.12,0.0,31.2358730169012,21.7424015628347,4698.97,13.0193350826693,2813.74,39.9761671295824,11085.53,18.0804661515764,15562.32,39.9111382571873,2648.32353462479,6635.55,26.3159420696492,13.0193350826693,1.38873959666682,1.45549024284171,97.2368,0.0,20.7467748835832,5.4597117464682,12.3223295637129,2.47849902099289
2016.0,16486.5,11558.45,4434.89,2409.22,,2025.67,,52.24,8940.65,682.24,0.02,4725.25,719.07,717.93,1319.94,859.52,237.35,871.44,16486.5,13266.55,289.37,,12977.18,438.96,,117.86,202.8,70.73,47.57,2780.99,2027.04,,606.63,147.32,22586.52,1296.68,22586.52,17804.58,13717.01,553.2,70.75,13092.77,0.29,66.6630361826435,63.45,749.06,883.42,527.96,120.66,112.7,370.94,4781.94,1073.59,25.9248879420114,1.05,5854.48,307.16,5547.32,,5547.32,1617.65,1641.42,-23.77,0.0,3929.67,0.0,,,3929.67,28.936702,40.500467964498,3656.81,5547.32,-619.07,4928.25,548.03,-1819.47,-18.83,-265.46,-271.2,5.74,-6270.33,6367.16,84.1,89.18,,-3384.08,,50.13,50.13,,-0.48,-2862.81,253.9,575.07,-11.42,817.55,265.46,3391.35,0.0,1.44055893764451,4006.18000000001,2780.99,1.69912513169771,4725.25,5284.1619047619,5548.37,1.05,5.09291549508556,22586.52,4434.89,-23.2276984611037,11.715877688082,10.9645032910163,45.908079440202,0.00888399772359807,117.86,13266.55,15.0149292586906,3391.35,0.0,33.3369638173565,25.9248879420114,5855.53,17.3982977457351,3929.67,40.482769338755,13705.51,23.8356837412428,16486.5,100.228370929823,3169.89261888624,3162.67,29.620888625905,17.3982977457351,1.37000090983532,1.2427119333964,135.8009,0.0,17.7178501762507,5.24818552675714,11.7638635102203,2.28585678068243
2017.0,20814.89,11109.9,4533.21,2589.95,,1943.26,,42.17,8681.39,698.15,0.02,9391.37,728.38,953.29,6050.08,293.68,427.44,938.5,20814.89,17034.13,289.37,,16744.76,568.18,,119.9,313.62,56.53,78.13,3212.58,2235.73,,840.18,136.67,21766.68,1321.35,21766.68,17345.57,13285.36,0.0,0.0,13285.36,0.0,67.1859465936009,-43.68,650.4,997.07,506.59,96.46,92.55,400.62,4421.11,1223.21,25.9310101494578,1.4,5642.92,307.29,5335.63,,5335.63,1508.07,1455.92,50.41,0.0,3827.56,0.0,,,3827.56,28.936702,41.5809217658737,3339.2,5335.63,-719.61,4616.02,225.76,-1502.58,-3688.31,-196.97,-205.62,8.65,-5782.69,2199.98,75.02,,,-190.09,,12.75,12.75,,-0.62,-172.77,-539.2,817.55,1.47,279.82,196.97,3142.23,0.0,2.69658343138537,8662.99000000001,3212.58,2.92331085918483,9391.37,3812.16428571429,5337.03,1.4,4.80160416128968,21766.68,4533.21,-28.545014847642,11.4414103325403,13.2102067608194,53.1966319410017,0.00703880973081689,119.9,17034.13,14.4359635920591,3142.23,0.0,32.8140534063991,25.9310101494578,5644.32,17.5844915255795,3827.56,30.320054583745,17602.31,18.3885670306209,20814.89,37.495224027993,2951.0841042576,7870.56,22.4699471003215,17.5844915255795,1.04572640066798,1.2219520456871,132.2722,0.0,21.2251705195801,4.76928539937173,14.362553416532,1.95903829029386
2018.0,23819.49,14260.44,4449.14,2627.92,,1821.22,,56.47,11822.89,826.15,0.02,9235.63,742.58,1491.87,5765.41,778.0,182.97,274.8,23819.49,19103.86,289.37,,18814.49,604.34,,120.77,323.42,47.96,112.19,4111.29,3244.32,,725.63,141.34,25218.92,398.34,25218.92,20580.92,15999.16,0.0,0.0,15999.16,0.0,69.0358270695177,9.68,652.8,1069.09,671.38,100.26,81.68,619.69,4638.0,1492.68,24.3098435618972,1.31,6129.37,314.8,5814.57,-32.0,5782.57,1714.47,1646.36,68.11,0.0,4068.1,0.0,,,4068.1,28.936702,42.6788918659817,4260.79,5782.57,-858.96,4923.61,1022.26,-1685.08,-1918.02,-183.29,-196.42,13.13,-7483.5,5547.25,32.41,135.07,,-1885.26,,0.0,,,-0.44,-1588.32,457.51,279.82,23.61,760.94,183.29,4077.5,0.0,2.06578713737051,8493.05,4111.29,2.24640684553996,9235.63,4415.17557251908,5815.88,1.31,5.66826847435684,25218.92,4449.14,-29.7066931249308,10.4186796366098,17.3188521103584,57.444224871899,0.00632175905811705,120.77,19103.86,16.1684164111707,4077.5,0.0,30.9641729304823,24.3098435618972,6130.68,16.1311428086532,4068.1,29.5099501730244,19708.2,17.078871126124,23819.49,48.8655707546304,3041.41755655358,6224.05,21.2946493535861,16.1311428086532,1.0587514678106,1.24684173774305,140.5847,0.0,19.553336885166,4.16381397790813,12.8676899299915,2.18269125832151
2019.0,27380.39,19775.07,4225.97,2517.53,,1708.44,,48.02,17582.88,922.87,0.02,7062.66,961.51,2559.69,1576.48,922.81,623.63,418.54,27380.39,21779.9,289.37,,21490.53,726.81,,124.52,542.66,45.07,14.56,4873.68,3786.73,,930.59,156.36,30357.57,,30357.57,25165.09,20301.35,0.0,0.0,20301.35,0.0,71.8031120409176,-56.42,753.47,1255.4,728.22,115.01,96.18,449.23,5192.48,1438.85,21.8440738175025,4.48,6626.85,265.69,6361.16,342.0,6703.16,2027.98,1818.59,209.39,0.0,4675.18,0.0,,,4675.18,28.936702,37.1369629763048,2489.53,6703.16,-1450.93,5252.23,-798.36,-1964.34,-244.08,-108.15,-184.31,76.16,-9600.95,9355.19,24.33,94.36,,-2074.05,,2.79,2.79,,-3.52,-1735.83,171.4,760.94,-26.96,905.38,108.15,2381.38,0.0,1.25185691305133,6101.15000000001,4873.68,1.44914315260748,7062.66,1497.24107142857,6365.64,4.48,7.18357442196703,30357.57,4225.97,-24.4410961238038,10.1926005785269,24.2334224130981,58.8671191154288,0.00571719796693281,124.52,21779.9,7.84443550653099,2381.38,0.0,28.1968879590824,21.8440738175025,6631.33,15.4003762488236,4675.18,28.2832986251656,22506.71,17.074921138815,27380.39,113.682846602586,3436.23456283305,3022.65,21.4655714672703,15.4003762488236,1.10873402460666,1.2571402990831,161.5641,0.0,18.0426839873462,3.87296552555338,12.5999628807494,2.05828373441279
2020.0,24773.3,17829.96,4087.66,2442.54,,1645.12,,60.19,15416.2,997.8,3.13,6596.96,1063.5,1725.1,2779.75,308.27,177.87,542.47,24773.3,19925.49,289.37,,19626.11,594.6,,125.59,346.38,42.13,80.5,4253.21,3199.7,,879.8,173.71,29918.65,,29918.65,24822.42,19484.62,0.0,0.0,19484.62,0.0,70.2180078312357,-63.01,832.27,1389.21,781.55,116.57,109.87,614.64,5096.23,1733.56,22.8278682360334,3.16,6826.63,246.43,6580.2,,6580.2,1480.22,1547.26,-67.04,0.0,5099.98,0.0,,,5099.98,28.936702,68.0873083555043,3861.76,6580.2,-1417.04,5163.16,376.26,-1677.66,1754.54,-280.0,-296.74,16.74,-3544.58,5345.9,22.9,234.37,-10.54,-6246.51,,0.0,,,-2.1,-5195.1,-630.21,905.38,2.16,277.33,280.0,3581.76,0.0,1.30100794458773,5533.45999999998,4253.21,1.5510543801035,6596.96,2083.3417721519,6583.36,3.16,7.31926089743276,29918.65,4087.66,-22.4384983631044,12.2765630875613,25.9764123396684,60.6914737903341,0.00630298175854145,125.59,19925.49,11.9716631599354,3581.76,0.0,29.7819921687643,22.8278682360334,6829.79,17.0461568286002,5099.98,32.08251035936,20520.09,20.5865992822918,24773.3,100.398366805718,3758.83453451263,3743.92,25.5952551229606,17.0461568286002,1.20769740002341,1.24329690261068,176.2443,0.0,11.489165890755,2.94216013372512,8.55251058963746,5.92621857869524
2021.0,31530.2,16832.93,4274.64,2662.01,,1612.63,,15.98,14602.84,1054.77,16.55,14175.13,1493.89,2716.85,8028.11,527.36,233.32,1175.6,31530.2,25202.26,289.37,,24895.98,684.73,,121.46,522.14,39.15,1.98,5643.21,4573.81,,892.88,176.52,27741.08,,27741.08,22818.17,18308.09,0.0,0.0,18308.09,0.0,70.6881274990015,-219.48,700.77,1285.96,494.81,91.34,62.87,585.04,4922.91,1282.03,22.3673339322045,6.66,6198.28,259.28,5939.0,,5939.0,1384.41,1348.1,36.31,0.0,4554.59,0.0,,,4554.59,28.936702,88.9471704634402,3113.86,5939.0,-974.64,4964.36,-510.81,-1339.69,-2865.35,-250.87,-256.57,5.7,-6245.19,3555.72,66.28,,,-19.52,,-5.31,,-5.31,-5.48,-8.73,228.99,277.33,-1.19,505.13,250.87,2862.99,0.0,2.24716783532777,12681.24,5643.21,2.51189128173504,14175.13,892.741741741742,5945.66,6.66,6.48968802051167,27741.08,4274.64,-26.6020857600797,16.7134589339596,29.02973301362,72.3452777076593,0.00481940905299763,121.46,25202.26,10.3203984848463,2862.99,0.0,29.3118725009985,22.3673339322045,6204.94,16.4182144314497,4554.59,22.9677533000167,25886.99,14.4451668559032,31530.2,37.0634069804801,3576.51499607678,9649.72,18.0721490850424,16.4182144314497,0.879825690924891,1.25108621210955,157.3968,0.0,23.3276661279009,4.21864230197317,17.0577125483889,3.81294768091075
2022.0,31921.94,21524.14,4561.56,2778.67,,1782.89,,76.82,18849.63,1119.52,47.48,9994.47,1230.51,1516.38,4969.13,588.34,883.94,806.17,31921.94,26668.8,289.37,,26347.16,563.7,,122.77,403.33,36.3,1.3,4689.44,3633.18,,878.36,177.9,33144.71,,33144.71,27908.18,22169.88,0.0,0.0,22169.88,0.0,73.4048359451629,187.96,939.67,1358.8,480.91,108.01,61.57,642.71,5236.53,1231.35,19.5140642352882,8.66,6459.22,269.17,6190.05,315.28,6505.33,1486.46,1667.11,-180.65,0.0,5018.87,0.0,,,5018.87,28.936702,80.7189521757505,4207.57,6505.33,-1196.79,5308.54,600.57,-1701.54,-95.95,-517.6,-550.67,33.07,-11330.6,11526.59,197.47,45.5,-15.17,-4056.33,,0.0,,,-7.35,-4048.98,55.29,505.13,3.55,563.97,517.6,3689.97,0.0,1.86887133644955,8763.95999999998,4689.44,2.13127153775291,9994.47,752.192840646651,6198.71,8.66,7.26609098641693,33144.71,4561.56,-23.5302152289141,14.8918416142994,23.1392565984807,61.5613134416942,0.00460350671946244,122.77,26668.8,11.1329077852846,3689.97,0.0,26.5951640548371,19.5140642352882,6467.88,15.142295708727,5018.87,22.7621775452125,27232.5,15.7223213877352,31921.94,57.8561851380814,3832.32427612435,6623.88,18.8192569594432,15.142295708727,1.03830500276612,1.19697699184065,173.4413,0.0,21.0589980587092,3.96794899711036,16.2691364867623,3.83299110198494
2023.0,31127.69,21912.14,5434.8,2768.81,,2665.99,,81.92,18503.96,954.35,1.05,8870.4,1397.9,1776.12,4419.37,285.75,576.83,414.43,31127.69,25425.86,282.96,,25080.81,503.79,,124.23,345.15,33.54,0.87,5198.04,4073.88,,934.47,189.69,36427.6,,36427.6,29880.46,24009.01,0.0,0.0,24009.01,0.0,71.5247504639339,-98.11,900.44,1444.9,584.53,122.51,89.77,711.38,6547.14,1183.42,21.2217110103328,39.48,7691.08,282.44,7408.64,,7408.64,1781.04,1854.82,-73.78,0.0,5627.6,0.0,,,5627.6,28.2957358,70.3931,5511.89,7408.64,-701.37,6707.27,723.03,-1918.41,1333.81,-806.41,-943.31,136.9,-9339.4,11672.39,375.67,47.25,-538.0,-7178.86,,0.0,,,-38.02,-4046.96,-333.16,563.97,-11.39,219.42,806.41,4705.48,0.0,1.4376,7472.702304,5198.04,1.7065,8870.4,188.6555,7448.12,39.48,6.70265695149775,36427.6,5434.8,-24.5706,13.0572,16.3562,53.984,0.00488597042538581,124.23,25425.86,12.9173483841922,4705.48,0.0,28.4752495360661,21.2217110103328,7730.56,15.4487256915086,5627.6,28.7243368113337,25929.65,18.0790800730796,31127.69,77.558663987209,4758.66612,6135.57,22.1333712999285,15.4487256915086,1.17026351778754,1.2242531816033,198.8832,0.0,19.5283,4.3329,14.1951,3.6047
2024.0,34250.65,23386.53,6162.88,3013.12,,3149.76,,27.49,19613.02,1035.19,19.11,10357.18,1695.62,2122.4,4879.48,536.62,458.88,664.18,34250.65,24860.5,279.18,,24478.86,664.45,,125.84,506.94,30.83,0.84,8725.7,5610.18,834.05,2075.22,206.25,44685.23,,44685.23,35902.77,29268.59,0.0,0.0,29268.59,0.0,71.0378798542606,-70.45,932.97,1537.56,654.22,147.8,107.51,826.8,8782.46,1442.89,22.8830644935698,53.5,10171.85,349.84,9822.01,,9822.01,2343.22,2283.6,59.62,0.0,7478.79,0.0,,,7478.79,27.9179756,29.8637,7478.27,9822.01,-978.24,8843.77,1017.12,-2382.62,-139.22,-795.7,-807.69,11.99,-16702.47,17248.43,394.33,43.05,-301.98,-7110.05,86.53,0.0,,,-51.9,-3960.2,229.0,219.42,0.19,448.61,795.7,6682.57,0.0,0.9926,8661.12982,8725.7,1.187,10357.18,184.589,9875.51,53.5,7.2507058388286,44685.23,6162.88,-27.3547,12.5302,15.7909,55.6758,0.0386110496570865,959.89,24860.5,14.9547624573041,6682.57,0.0,28.9621201457394,22.8830644935698,10225.35,16.7366040188223,7478.79,38.6896350433595,25524.95,21.8354688159203,34250.65,149.628001170763,6420.86671184,4291.22,30.0830232698457,16.7366040188223,1.30465348832796,1.37771364212305,267.8842,0.0,34.1375,10.3121,25.0095,0.8748
